Nummer [ID];Feldname [key];Anzeige-Titel  [label];Multiplizität;Art des Feldes;Typ;Rolle;Export zu ISO;Andere Wege;Funktionsweise;Codelisten und Vorbelegungen;Hilfe-Button;Kopier-Button;Übernahme-Button;Übernahme-Button (Vorlage);Löschen Button
17;isoMetadata.crs;abzugebendes Koordinatensystem;1..1;Formularfeld;Auswahlliste;Redakteur;"ISO 13
(ISO 186 - referenceSystemIdentifier)";;Erfassen des CRS über eine Auswahlliste in dem die Daten in der sekundären Datenhaltung vorliegen und über Dienste abgegeben werden.;"https://github.com/gdi-be/mde-deployment/blob/main/codelists/crs.yaml

Vorbelegung: 25833";1;1;0;1;0
18;isoMetadata.extent;Räumliche Ausdehnung;1..1;Bereich;Überschrift;Redakteur;-;;"Erfassen der Ausdehnung des Datensatzes. Vorlagen sind für Berlin und Brandenburg über Buttons auswählbar. Freie Eingabe von Koordinaten im ausgewählten CRS möglich. 
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.
Bedingt die Angabe des Regionalschlüssels bei der ISO-Erzeugung bei Auswahl der Vorlage Berlin.";https://github.com/gdi-be/mde-deployment/blob/main/codelists/extents.yaml;1;0;0;1;0
71;isoMetadata.extent.minx;Minimaler X-Wert;1..1;Formularfeld;Gleitkommazahl;Redakteur;"ISO 45
(ISO 346)";;"Freie Eingabe von Koordinaten im ausgewählten CRS möglich. 
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;0;0;0;0;0
72;isoMetadata.extent.maxx;Maximaler X-Wert;1..1;Formularfeld;Gleitkommazahl;Redakteur;"ISO 45
(ISO 347)";;"Freie Eingabe von Koordinaten im ausgewählten CRS möglich. 
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;0;0;0;0;0
73;isoMetadata.extent.miny;Minimaler Y-Wert;1..1;Formularfeld;Gleitkommazahl;Redakteur;"ISO 45
(ISO 344)";;"Freie Eingabe von Koordinaten im ausgewählten CRS möglich. 
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;0;0;0;0;0
74;isoMetadata.extent.maxy;Maximaler Y-Wert;1..1;Formularfeld;Gleitkommazahl;Redakteur;"ISO 45
(ISO 345)";;"Freie Eingabe von Koordinaten im ausgewählten CRS möglich. 
Übernahme der Angabe in alle zugehörigen Dienstmetadaten.";;0;0;0;0;0
-;-;Räumliche Auflösung;1..1;Bereich;Entscheidung;"DHS
Redakteur";;;Erfassen, ob Vergleichsmaßstab oder Bodenauflösung verpflichtend auszufüllen ist.;;1;1;0;1;0
27;isoMetadata.scale;Vergleichsmaßstab;k..1;Formularfeld;Ganze Zahl;"DHS
Redakteur";"ISO 38
(ISO 57)";;"Konditionales Feld, Verpflichtung und Anzeige im Formular ist abhängig von der Auswahl unter ""Auflösung"".";;0;0;0;0;0
28;isoMetadata.resolutions;Bodenauflösung;k..1;Formularfeld;Gleitkommazahl;"DHS
Redakteur";"ISO 38
(ISO 61)";;"Konditionales Feld, Verpflichtung und Anzeige im Formular ist abhängig von der Auswahl unter ""Auflösung"".";;0;0;0;0;0
39;isoMetadata.spatialRepresentationTypes;Räumliche Darstellungsart;1..1;Formularfeld;Auswahlliste;Redakteur;ISO 37;;Erfassen der Darstellungsart durch Auswahl aus einer ISO-basierten Auswahlliste.;Codeliste ISO 19115: B.5.26 MD_SpatialRepresentationTypeCode;1;1;0;1;0
Weitere Angaben;;;;;;;;;;;;;;;
